phone_name,network_technology,network_2g_bands,network_3g_bands,network_4g_bands,network_5g_bands,network_speed,launch_announced,launch_status,body_dimensions,body_weight,body_build,body_sim,display_type,display_size,display_resolution,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_card_slot,memory_internal,main_camera_features,main_camera_video,selfie_camera_single,selfie_camera_video,sound_loudspeaker,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_positioning,comms_nfc,comms_radio,comms_usb,features_sensors,battery_type,battery_charging,misc_colors,misc_models
Samsung Galaxy A06 5G,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2025, February 19","Available. Released 2025, February 19",167.3 x 77.3 x 8 mm (6.59 x 3.04 x 0.31 in),191 g (6.74 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"PLS LCD, 90Hz","6.7 inches, 108.4 cm2 (~83.8% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~262 ppi density)","Android 15, up to 4 major Android upgrades, One UI 7",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",LED flash,1080p@30/60fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,Unspecified,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000 mAh,25W wired,"Black, Gray, Light Green","SM-A066B, SM-A066B/DS"
Samsung Galaxy A16 5G,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 38, 40, 41, 66 - International","1, 3, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA/Sub6 - International","HSPA, LTE, 5G","2024, October 07","Available. Released 2024, October 25",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIM,"Super AMOLED, 90Hz, 800 nits (HBM)","6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 14, up to 6 major Android upgrades, One UI 6.1",Exynos 1330 (5 nm) or Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) or Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G68 MP2 or Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, compass",5000 mAh,25W wired,"Blue Black, Light Gray, Gold, Light Green","SM-A166B, SM-A166B/DS, SM-A166P, SM-A166P/DS, SM-A166E, SM-A166E/DS"
Samsung Galaxy A16,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE","2024, October 15","Available. Released 2024, November 20",164.4 x 77.9 x 7.9 mm (6.47 x 3.07 x 0.31 in),200 g (7.05 oz),"Glass front, plastic back, plastic frame",Nano-SIMNano-SIM + Nano-SIM,"Super AMOLED, 90Hz","6.7 inches, 110.2 cm2 (~86.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 14, up to 6 major Android upgrades, One UI 7",Mediatek Helio G99 (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","LED flash, panorama, HDR",1080p@30fps,"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),FM radio (market/region dependent),USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, compass",5000 mAh,25W wired,"Gray, water green, midnight blue","SM-A165F, SM-A165F/DS, SM-A165M, SM-A165M/DS"
Samsung Galaxy A26,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2025, March 02","Available. Released 2025, March 19",164 x 77.5 x 7.7 mm (6.46 x 3.05 x 0.30 in),200 g (7.05 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",Nano-SIM + Nano-SIM,"Super AMOLED, 120Hz","6.7 inches, 110.2 cm2 (~86.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 15, up to 6 major Android upgrades, One UI 7",Exynos 1380 (5 nm) - GlobalExynos 1280 (5 nm) - LATAM,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55) - GlobalOcta-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55) - LATAM,Mali-G68 MP5 - GlobalMali-G68 - LATAM,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","LED flash, panorama, HDR","4K@30fps, 1080p@30fps, 720p@480fps, gyro-EIS","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm",1080p@30fps,Yes,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, compass",5000 mAh,25W wired,"Black, White, Mint, Peach Pink","SM-A266E, SM-A266E/DS, SM-A266E/DSN, SM-A266B, SM-A266B/DS, SM-A266B/DSN, SM-A266U, SM-A266U1"
Samsung Galaxy A35,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 26, 28, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2024, March 11","Available. Released 2024, March 15",161.7 x 78 x 8.2 mm (6.37 x 3.07 x 0.32 in),209 g (7.37 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back",Nano-SIM + eSIMNano-SIM + Nano-SIM,"Super AMOLED, 120Hz, 1000 nits (HBM)","6.6 inches, 106.9 cm2 (~84.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, up to 4 major Android upgrades, One UI 7",Exynos 1380 (5 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G68 MP5,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","13 MP, f/2.2, (wide), 1/3.06"", 1.12µm","4K@30fps, 1080p@30fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass",Li-Ion 5000 mAh,25W wired,"Iceblue, Lilac, Navy, Lemon","SM-A356E, SM-A356E/DS, SM-A356B, SM-A356B/DS, SM-A356U, SM-A356U1"
Samsung Galaxy A36,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2025, March 02","Available. Released 2025, March 10",162.9 x 78.2 x 7.4 mm (6.41 x 3.08 x 0.29 in),195 g (6.88 oz),"Glass front (Gorilla Glass Victus+), plastic frame, glass back (Gorilla Glass Victus+)",Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),"Super AMOLED, 120Hz, 1200 nits (HBM), 1900 nits (peak)","6.7 inches, 110.2 cm2 (~86.5% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 15, up to 6 major Android upgrades, One UI 7",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","12 MP, f/2.2, (wide)","4K@30fps, 1080p@30fps, 10-bit HDR","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.4, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass",5000 mAh,"45W wired, 66% in 30 min, 100% in 68 min","Lavender, Black, White, Lime","SM-A366E, SM-A366E/DS, SM-A366B, SM-A366B/DS, SM-A366U, SM-A366U1"
Samsung Galaxy A55,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2024, March 11","Available. Released 2024, March 15",161.1 x 77.4 x 8.2 mm (6.34 x 3.05 x 0.32 in),213 g (7.51 oz),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass), aluminum frame",Nano-SIMNano-SIM + eSIMNano-SIM + Nano-SIMNano-SIM + Nano-SIM + eSIM (max 2 at a time),"Super AMOLED, 120Hz, HDR10+, 1000 nits (HBM)","6.6 inches, 106.9 cm2 (~85.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, up to 4 major Android upgrades, One UI 6.1",Exynos 1480 (4 nm),Octa-core (4x2.75 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Xclipse 530,microSDXC (uses shared SIM slot),"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","32 MP, f/2.2, 26mm (wide), 1/2.74"", 0.8µm","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass",Li-Ion 5000 mAh,25W wired,"Iceblue, Lilac, Navy, Lemon","SM-A556V, SM-A556B, SM-A556B/DS, SM-A556E, SM-A556E/DS, SM-A5560"
Samsung Galaxy A56,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 26, 28, 32, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2025, March 02","Available. Released 2025, March 10",162.2 x 77.5 x 7.4 mm (6.39 x 3.05 x 0.29 in),198 g (6.98 oz),"Glass front (Gorilla Glass Victus+), glass back (Gorilla Glass Victus+), aluminum frame",Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),"Super AMOLED, 120Hz, HDR10+, 1200 nits (HBM), 1900 nits (peak)","6.7 inches, 110.2 cm2 (~87.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Android 15, up to 6 major Android upgrades, One UI 7",Exynos 1580 (4 nm),Octa-core (1x2.9 GHz Cortex-A720 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Xclipse 540,No,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","Best Face, LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS","12 MP, f/2.2, (wide)","4K@30fps, 1080p@30/60fps, 10-bit HDR","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes (market/region dependent),No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, compass",5000 mAh,"45W wired, 65% in 30 min, 100% in 68 min","Pink, Olive, Graphite, Lightgray","SM-A566V, SM-A566B, SM-A566B/DS, SM-A566E, SM-A566E/DS, SM-A5660"
Samsung Galaxy C55,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 25, 28, 34, 38, 39, 40, 41, 66","1, 3, 5, 8, 20, 28, 41, 66, 77, 78, 79 SA/NSA/Sub6","HSPA, LTE, 5G","2024, April 22","Available. Released 2024, April 22",163.9 x 76.5 x 7.8 mm (6.45 x 3.01 x 0.31 in),180 g (6.35 oz),"Glass front, silicone polymer (eco leather) back, plastic frame",Nano-SIM + Nano-SIM,"Super AMOLED+, 120Hz, 1000 nits (HBM)","6.7 inches, 108.4 cm2 (~86.4% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)","Android 14, One UI 6.1",Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Octa-core (1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),Adreno 644,microSDXC (uses shared SIM slot),"256GB 8GB RAM, 256GB 12GB RAM","LED flash, panorama, HDR","4K@30fps, 1080p@30/60fps, gyro-EIS, OIS","50 MP, f/2.4, (wide)","4K@30fps, 1080p@30/60fps","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","5.2, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",Yes,No,"USB Type-C 2.0, OTG","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000 mAh,45W wired,"Black, Orange",SM-C5560
Samsung Galaxy F06 5G,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 2100,LTE,SA/NSA,"HSPA, LTE, 5G","2025, February 12",Available. Released February 20,167.4 x 77.4 x 8 mm (6.59 x 3.05 x 0.31 in),191 g (6.74 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"PLS LCD, 800 nits (HBM)","6.7 inches, 108.4 cm2 (~83.6% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~262 ppi density)","Android 15, up to 4 major Android upgrades, One UI Core 7.0",Mediatek Dimensity 6300 (6 nm),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM",LED flash,1080p@30/60fps,"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm",Yes,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GLONASS, GALILEO, BDS",No,Unspecified,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, proximity, compass",Li-Ion 5000 mAh,25W wired,"Bahama Blue, Lit Violet","SM-E066B, SM-E066B/DS"
Samsung Galaxy F15,GSM / HSPA / LTE / 5G,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66","1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA/Sub6","HSPA, LTE, 5G","2024, March 04","Available. Released 2024, March 11",160.1 x 76.8 x 9.3 mm (6.30 x 3.02 x 0.37 in),217 g (7.65 oz),"Glass front, plastic back, plastic frame",Nano-SIM + Nano-SIM,"Super AMOLED, 90Hz","6.6 inches, 106.9 cm2 (~87.0% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Android 14, One UI 6",Mediatek Dimensity 6100+ (6 nm),Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,microSDXC (uses shared SIM slot),"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","LED flash, panorama, HDR","1080p@30fps, gyro-EIS","13 MP, f/2.0, (wide)",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","5.3, A2DP, LE","GPS, GALILEO, GLONASS, BDS, QZSS",No,No,USB Type-C 2.0,"Fingerprint (side-mounted), accelerometer, gyro, compass",6000 mAh,25W wired,"Ash Black, Groovy Violet, Jazzy Green","SM-E156B, SM-E156B/DS"
